name,key
ГАЗ,ГАЗ
КамАЗ,KAMAZ
КрАЗ,KRAZ
МАЗ,MAZ
AMCO-VEBA,AMCO-VEBA
Aro,Aro
Astra,Astra
Avia,Avia
BARKAS,BARKAS
Baw,Baw
CAMC,CAMC
Caterpillar,Caterpillar
CATL,CATL
Chevrolet,Chevrolet
Citroen,Citroen
Dacia,Dacia
Daewoo,Daewoo
DAF,DAF
Dodge,Dodge
Dongfeng,Dongfeng
Eagle,Eagle
FAW,FAW
Feber,Feber
Fiat,Fiat
Ford,Ford
Foton,Foton
Freightliner,Freightliner
Geely,Geely
Ginaf,Ginaf
GMC,GMC
Great Wall,Great Wall
Groz,Groz
HANIA,HANIA
Hanomag,Hanomag
HDC,HDC
Hongda,Hongda
Howo,Howo
Hyundai,Hyundai
IFA,IFA
International,International
Isuzu,Isuzu
Iveco,Iveco
JAC,JAC
Jelcz,Jelcz
JMC,JMC
KENWORTH,KENWORTH
Kia,Kia
Land Rover,Land Rover
LDV,LDV
LIAZ,LIAZ
LIAZ-cz,LIAZ-cz
Ligier,Ligier
Lovol,Lovol
MAN,MAN
MAN-VW,MAN-VW
Maxus,Maxus
Mazda,Mazda
Mercedes-Benz,Mercedes-Benz
Mitsubishi,Mitsubishi
Nissan,Nissan
Opel,Opel
Peugeot,Peugeot
Piaggio,Piaggio
Renault,Renault
Robur,Robur
Rover,Rover
Samsung,Samsung
Scania,Scania
SEAT,SEAT
Shaanxi,Shaanxi
Shacman,Shacman
Sinotruk,Sinotruk
SITRAK,SITRAK
Skoda,Skoda
Steyr,Steyr
StreetScooter,StreetScooter
Suzuki,Suzuki
TATA,TATA
Tatra,Tatra
Terex,Terex
Toyota,Toyota
Van Hool,Van Hool
Vauxhall,Vauxhall
Volkswagen,Volkswagen
Volvo,Volvo
Wuling,Wuling
Yanmar,Yanmar
Yuejin,Yuejin
Zuk,Zuk
